FireNum, XStart, YStart, Acres
297, 4564119.00, 3252311.00, 2646.50
298, 4541524.00, 3230856.00, 5631.53
299, 4527233.00, 3242875.00, 3684.34
300, 4581463.00, 3223106.00, 1779.16
301, 4566338.00, 3237790.00, 3014.69
302, 4576781.00, 3221951.00, 2923.26
303, 4579344.00, 3225567.00, 2327.73
304, 4577759.00, 3262474.00, 1559.23
305, 4569812.00, 3222350.00, 3402.64
306, 4528130.00, 3219719.00, 13739.06
307, 4566599.00, 3246208.00, 894.52
308, 4562355.00, 3213080.00, 4339.17
309, 4538959.00, 3218677.00, 8782.13
310, 4535484.00, 3230051.00, 3489.13
311, 4547846.00, 3212562.00, 2666.27
312, 4567926.00, 3258152.00, 3353.22
313, 4524929.00, 3196211.00, 1035.37
314, 4536816.00, 3222742.00, 7474.94
315, 4566518.00, 3257938.00, 726.49
316, 4523912.00, 3221179.00, 9834.79
317, 4564553.00, 3197542.00, 1556.76
318, 4532220.00, 3196888.00, 1257.77
319, 4559166.00, 3208446.00, 2935.61
320, 4569473.00, 3206215.00, 1344.25
321, 4579790.00, 3224386.00, 1875.53
322, 4548673.00, 3219846.00, 5488.21
323, 4530615.00, 3243996.00, 3800.48
324, 4553912.00, 3242224.00, 1902.71
325, 4586140.00, 3231812.00, 1618.54
326, 4550579.00, 3227060.00, 3528.66
327, 4526139.00, 3249904.00, 2695.92
328, 4556483.00, 3213798.00, 1991.67
329, 4536082.00, 3254217.00, 2216.54
330, 4545612.00, 3233486.00, 4672.76
331, 4580087.00, 3237684.00, 4526.97
332, 4573038.00, 3234886.00, 4386.12
333, 4581802.00, 3243774.00, 4336.70
334, 4557366.00, 3218451.00, 2587.19
335, 4581771.00, 3260256.00, 1524.64
336, 4577044.00, 3258318.00, 1611.13
337, 4549882.00, 3256429.00, 832.75
338, 4553529.00, 3248131.00, 387.96
339, 4566731.00, 3246627.00, 914.29
340, 4563973.00, 3240281.00, 2226.42
341, 4563056.00, 3243951.00, 150.73
342, 4567602.00, 3226706.00, 1504.87
343, 4567795.00, 3224734.00, 1586.42
344, 4535181.00, 3254296.00, 1574.06
